,Izena,Herria
erraldoia_00.png,Campesino Miguel,Noáin
erraldoia_01.png,Pastor,Ochagavía
erraldoia_02.png,Vendimiadora,Berriozar
erraldoia_03.png,Rey Moro Anguita,Cascante
erraldoia_05.png,Auroro Miguel,Lodosa
erraldoia_06.png,Bruja de Campolengo,Aibar
erraldoia_07.png,Isabel la Católica,Huarte
erraldoia_08.png,Infanta Leonor,Burlada
erraldoia_100.png,Rey Negro,Peralta
erraldoia_101.png,Flavio,Perrinche
erraldoia_102.png,Reina Africana,Iruña
erraldoia_103.png,Roncalesa,Lumbier
erraldoia_105.png,Josef Ezmel,Ablitas
erraldoia_106.png,Mujer rural,Aibar
erraldoia_107.png,Sorgiña,Alsasua
erraldoia_108.png,Saturnino Lasterra,Artajona
erraldoia_10.png,Pastora,Barañain
erraldoia_110.png,Carlos III,Perrinche
erraldoia_111.png,Segadora,Carcastillo
erraldoia_112.png,Mayordoma,Berriozar
erraldoia_113.png,Rey Blanco Abad,Cascante
erraldoia_11.png,Airea,Iruñeko Alde Zaharra
erraldoia_120.png,Mikelatz,Mendillorri
erraldoia_121.png,Pirata,Auzberri/Espinal
erraldoia_122.png,Santa Ana,Buñuel
erraldoia_123.png,Bardenero,Carcastillo
erraldoia_125.png,Reina Blanca Abadesa,Cascante
erraldoia_126.png,Atarrabi,Mendillorri
erraldoia_127.png,Ura,Iruñeko Alde Zaharra
erraldoia_128.png,Santiago Pla,Aibar
erraldoia_12.png,,
erraldoia_130.png,,
erraldoia_131.png,,
erraldoia_132.png,,
erraldoia_133.png,,
erraldoia_13.png,,
erraldoia_140.png,,
erraldoia_141.png,,
erraldoia_142.png,,
erraldoia_143.png,,
erraldoia_145.png,,
erraldoia_146.png,,
erraldoia_147.png,,
erraldoia_148.png,,
erraldoia_150.png,,
erraldoia_151.png,,
erraldoia_152.png,,
erraldoia_153.png,,
erraldoia_160.png,,
erraldoia_161.png,,
erraldoia_162.png,,
erraldoia_163.png,,
erraldoia_165.png,,
erraldoia_166.png,,
erraldoia_167.png,,
erraldoia_168.png,,
erraldoia_170.png,,
erraldoia_171.png,,
erraldoia_172.png,,
erraldoia_173.png,,
erraldoia_180.png,,
erraldoia_181.png,,
erraldoia_182.png,,
erraldoia_183.png,,
erraldoia_185.png,,
erraldoia_186.png,,
erraldoia_187.png,,
erraldoia_188.png,,
erraldoia_190.png,,
erraldoia_191.png,,
erraldoia_192.png,,
erraldoia_193.png,,
erraldoia_200.png,,
erraldoia_201.png,,
erraldoia_202.png,,
erraldoia_203.png,,
erraldoia_205.png,,
erraldoia_206.png,,
erraldoia_207.png,,
erraldoia_208.png,,
erraldoia_20.png,,
erraldoia_210.png,,
erraldoia_211.png,,
erraldoia_212.png,,
erraldoia_213.png,,
erraldoia_21.png,,
erraldoia_220.png,,
erraldoia_221.png,,
erraldoia_222.png,,
erraldoia_223.png,,
erraldoia_225.png,,
erraldoia_226.png,,
erraldoia_227.png,,
erraldoia_228.png,,
erraldoia_22.png,,
erraldoia_230.png,,
erraldoia_231.png,,
erraldoia_232.png,,
erraldoia_233.png,,
erraldoia_23.png,,
erraldoia_240.png,,
erraldoia_241.png,,
erraldoia_242.png,,
erraldoia_243.png,,
erraldoia_245.png,,
erraldoia_246.png,,
erraldoia_247.png,,
erraldoia_248.png,,
erraldoia_250.png,,
erraldoia_251.png,,
erraldoia_252.png,,
erraldoia_253.png,,
erraldoia_25.png,,
erraldoia_260.png,,
erraldoia_261.png,,
erraldoia_262.png,,
erraldoia_263.png,,
erraldoia_265.png,,
erraldoia_266.png,,
erraldoia_267.png,,
erraldoia_268.png,,
erraldoia_26.png,,
erraldoia_270.png,,
erraldoia_271.png,,
erraldoia_272.png,,
erraldoia_273.png,,
erraldoia_27.png,,
erraldoia_28.png,,
erraldoia_30.png,,
erraldoia_31.png,,
erraldoia_32.png,,
erraldoia_33.png,,
erraldoia_40.png,,
erraldoia_41.png,,
erraldoia_42.png,,
erraldoia_43.png,,
erraldoia_45.png,,
erraldoia_46.png,,
erraldoia_47.png,,
erraldoia_48.png,,
erraldoia_50.png,,
erraldoia_51.png,,
erraldoia_52.png,,
erraldoia_53.png,,
erraldoia_60.png,,
erraldoia_61.png,,
erraldoia_62.png,,
erraldoia_63.png,,
erraldoia_65.png,,
erraldoia_66.png,,
erraldoia_67.png,,
erraldoia_68.png,,
erraldoia_70.png,,
erraldoia_71.png,,
erraldoia_72.png,,
erraldoia_73.png,,
erraldoia_80.png,,
erraldoia_81.png,,
erraldoia_82.png,,
erraldoia_83.png,,
erraldoia_85.png,,
erraldoia_86.png,,
erraldoia_87.png,,
erraldoia_88.png,,
erraldoia_90.png,,
erraldoia_91.png,,
erraldoia_92.png,,
erraldoia_93.png,,
erraldoia.csv,,
