zaraitzuarra,izena_es,izena_eu,herria_es,herria_eu
erraldoia_00.png,Campesino Miguel,Miguel nekazaria,Noáin,Noain
erraldoia_01.png,Pastor,Artzaina,Ochagavía,Otsagabia
erraldoia_02.png,Vendimiadora,Mahats-biltzailea,Berriozar,Berriozar
erraldoia_03.png,Rey Moro Anguita,Anguita errege mairua,Cascante,Cascante
erraldoia_05.png,Auroro Miguel,Auroro Miguel,Lodosa,Lodosa
erraldoia_06.png,Bruja de Campolengo,Campolengo-ko sorgina,Aibar,Oibar
erraldoia_07.png,Isabel la Católica,Isabel katolikoa,Huarte,Uharte
erraldoia_08.png,Infanta Leonor,Infanta Leonor,Burlada,Burlata
erraldoia_25.png,Pastora,Artzaina,Barañain,Barañain
erraldoia_10.png,Rey Negro,Errege beltza,Peralta,Azkoien
erraldoia_11.png,Flavio,Flavio,Perrinche,Perrintxe
erraldoia_12.png,Larancha-la,Larancha-la,Pamplona ,Iruña
erraldoia_13.png,Roncalesa,Erronkariarra,Lumbier,Irunberri
erraldoia_20.png,Josef Ezmel,Josef Ezmel,Ablitas,Ablitas
erraldoia_21.png,Mujer rural,Landa emakumea,Aibar,Oibar
erraldoia_22.png,Bruja,Sorgiña,Alsasua,Altsasu
erraldoia_23.png,Saturnino Lasterra,Saturnino Lasterra,Artajona,Artaxoa
erraldoia_31.png,Airea,Airea,Casco Viejo de Pamplona,Iruñeko Alde Zaharra
erraldoia_26.png,Carlos III,Karlos III  ,Perrinche,Perrintxe
erraldoia_27.png,Segadora,Segalaria,Carcastillo,Zarrakaztelu
erraldoia_28.png,Mayordoma,Etxezaina,Berriozar,Berriozar
erraldoia_30.png,Rey Blanco Abad,Abad errege txuria,Cascante,Cascante
erraldoia_47.png,Pastor,Artzaina,Barañain,Barañain
erraldoia_32.png,Mikelatz,Mikelatz,Mendillorri,Mendillorri
erraldoia_33.png,Pirata,Pirata,Espinal,Auzberri
erraldoia_40.png,Santa Ana,Santa Ana,Buñuel,Buñuel
erraldoia_41.png,Bardenero,Bardenero,Carcastillo,Zarrakaztelu
erraldoia_42.png,Reina Blanca Abadesa,Abadesa erregina txuria,Cascante,Cascante
erraldoia_43.png,Atarrabi,Atarrabi,Mendillorri,Mendillorri
erraldoia_45.png,Ura,Ura,Casco Viejo de Pamplona,Iruñeko Alde Zaharra
erraldoia_46.png,Santiago Pla,Santiago Pla,Aibar,Oibar
erraldoia_53.png,Momotxorro,Momotxorro,Alsasua,Altsasu
erraldoia_48.png,Bruja,Sorgina,Espinal,Auzberri
erraldoia_50.png,Fatbuena,Fatbuena,Ablitas,Ablitas
erraldoia_51.png,Tarasca,Tarasca,Perrinche,Perrintxe
erraldoia_52.png,Doña Magdalena,Magdalena anderea,Aoiz,Agoitz
erraldoia_60.png,Doña Urraca,Urraca anderea,Buñuel,Buñuel
erraldoia_61.png,Beriniana,Beriniana,Barañain,Barañain
erraldoia_62.png,Príncipe de Viana,Vianako printzea,Carcastillo,Zarrakaztelu
erraldoia_63.png,Aurora Angustias,Aurora Angustias,Lodosa,Lodosa
erraldoia_65.png,Vicenta,Vicenta,Ablitas,Ablitas
erraldoia_66.png,Fernando el Católico,Fernando Katolikoa,Lumbier,Irunberri
erraldoia_67.png,Canciller Villaespesa,Villaespesa kantzelaria,Perrinche,Perrintxe
erraldoia_68.png,Mayordoma Leonor,Leonor etxezaina,Noáin,Noain
erraldoia_70.png,Dulero,Dulero,Aibar,Oibar
erraldoia_71.png,Pastora,Artzaina,Ochagavía,Otsagabia
erraldoia_72.png,Martina Goicoechea,Martina Goicoechea,Artajona,Artaxoa
erraldoia_73.png,Braulia,Braulia,Pamplona,Iruña
erraldoia_80.png,Felipe Gorriti,Felipe Gorriti,Uharte-Arakil,Uharte-Arakil
erraldoia_81.png,Sancho VI El Sabio,Antso VI azkarra,Villava,Atarrabia
erraldoia_82.png,Mayordoma,Etxezaina,Zizur Mayor,Zizur Nagusia
erraldoia_83.png,Sorgiñe,Sorgiñe,Chantrea,Txantrea
