Galdera,E1,E2,E3,E4
Zein egunetan sortu zen Oibarreko konpartsa?,Abuztuak 15.,Ekainak 15.,Ekainak 16.,Ez dago.
Zenbat konpartsa daude?,41,56,108,3
Nola deitzen dira agoitzeko konpartsako bigarren bikotea?,Karlos Noblea eta Magdalena Printzesa,Xabiertxo eta Maitane,Barron eta iker,Antso VII eta Juana eroa
Zer dira Arreko konpartsaren bikotea?,Zaldi bat eta margolari bat,Abokatu bat eta preso bat,Errege eta erregina bat,Ez da Arreko konpartsa existitzen
Zenbat erraldoi daukza Altsasuak?,6,2,12,Ez dauzka bat ere
Zein urtetan aurkeztu ziren Artaxoako erraldoiak?,1995.urtean,1990.urtean,2013.urtean,1943.urtean
Zein urtetan sortu ziren Berriozarreko erraldoiak?,1984,1987,1995,2012
Zein urtetan sortu ziren Berako erraldoiak?,2010,1998,1995,1999
Noiz sortu zen Lekunberriko erraldoiak?,Ez dira existitzen,1998,2012,2009
Zein konpartsa da zaharrago?,Agoitz,Bera,Biak urte berekoak dira,Ezin da jakin
Zein urtetan sortu ziren Ablitasko erraldoiak?,2005,1999,2010,Ablitasen ez daude erraldoirik
Nondik lortu zuen Lakuntzak bere erraldoiak?,"Josu Iragik sortu egin zituen, herritarren laguntzarekin",Ez daukate erraldoirik,Herritarrek sortu zituzten,Aragoitik atera zituzten
Nongoak dira Lesakako erraldoiak?,Kataluñakoak,Madrilgoak,Bizkaiakoak,Extremadurakoak
Nola deitzen dira Lodosako erraldoiak?,Pimentonero eta Isolina,Lodosa eta navarra,Ez daukate erraldoirik,Maite eta Iñaki
Nola deitzen dira Badostaingo erraldoiak?,Badostainen ez daude erraldoirik,Egues eta sarriguren,Javier eta Saioa,Ez daukate izenik
Zein enpresa sortu zuen Irunberriko erraldoiak?,Jugueteria Rechacha,la golosina,Toys rus,Eroski
Zenbat erraldoi daude Azkoienen?,4,3,2,0
Zenbat erraldoi daude Tafallan?,6,4,2,0
Zein mitologiakoak dira Txantreako erraldoiak,Euskal mitologiakoak,Erromatar mitologiakoak,Greziar mitologiakoak,Ez dira mitologiatik aterata
